Movie,Participant,Duration_Sec,Pearson_r,P_Value,Significant
AfterTheRain,sub-S01,496,-0.6163,0.0,Yes
AfterTheRain,sub-S02,496,0.0457,0.309794,No
AfterTheRain,sub-S03,496,0.4714,0.0,Yes
AfterTheRain,sub-S04,496,0.8253,0.0,Yes
AfterTheRain,sub-S05,496,-0.6007,0.0,Yes
AfterTheRain,sub-S06,496,0.2284,0.0,Yes
AfterTheRain,sub-S07,496,0.5813,0.0,Yes
AfterTheRain,sub-S08,496,-0.1578,0.000419,Yes
AfterTheRain,sub-S09,496,0.3017,0.0,Yes
AfterTheRain,sub-S10,496,-0.2241,0.0,Yes
AfterTheRain,sub-S11,496,-0.503,0.0,Yes
AfterTheRain,sub-S13,496,0.079,0.07885,No
AfterTheRain,sub-S14,496,-0.0528,0.240507,No
AfterTheRain,sub-S15,496,-0.0683,0.128799,No
AfterTheRain,sub-S16,496,-0.1239,0.005742,Yes
AfterTheRain,sub-S17,496,-0.0343,0.445622,No
AfterTheRain,sub-S19,496,0.556,0.0,Yes
AfterTheRain,sub-S20,496,-0.5107,0.0,Yes
AfterTheRain,sub-S21,496,-0.6896,0.0,Yes
AfterTheRain,sub-S22,496,0.3726,0.0,Yes
AfterTheRain,sub-S23,496,-0.2564,0.0,Yes
AfterTheRain,sub-S24,496,0.5184,0.0,Yes
AfterTheRain,sub-S25,496,-0.3365,0.0,Yes
AfterTheRain,sub-S26,496,-0.6025,0.0,Yes
AfterTheRain,sub-S27,496,-0.0473,0.292838,No
AfterTheRain,sub-S28,496,-0.0843,0.060633,No
AfterTheRain,sub-S29,496,-0.2398,0.0,Yes
AfterTheRain,sub-S30,496,0.2014,6e-06,Yes
AfterTheRain,sub-S31,496,0.4718,0.0,Yes
AfterTheRain,sub-S32,496,0.0079,0.859867,No
BetweenViewings,sub-S01,808,0.5413,0.0,Yes
BetweenViewings,sub-S02,808,0.5388,0.0,Yes
BetweenViewings,sub-S03,808,-0.0421,0.232159,No
BetweenViewings,sub-S04,808,0.3943,0.0,Yes
BetweenViewings,sub-S05,808,0.05,0.155373,No
BetweenViewings,sub-S06,808,0.0302,0.392016,No
BetweenViewings,sub-S08,808,-0.574,0.0,Yes
BetweenViewings,sub-S09,808,0.1881,0.0,Yes
BetweenViewings,sub-S10,808,0.0301,0.392432,No
BetweenViewings,sub-S11,808,-0.1644,3e-06,Yes
BetweenViewings,sub-S13,808,-0.4552,0.0,Yes
BetweenViewings,sub-S14,808,-0.5303,0.0,Yes
BetweenViewings,sub-S15,808,0.3651,0.0,Yes
BetweenViewings,sub-S16,808,0.6111,0.0,Yes
BetweenViewings,sub-S17,808,-0.1479,2.4e-05,Yes
BetweenViewings,sub-S19,808,-0.608,0.0,Yes
BetweenViewings,sub-S20,808,-0.386,0.0,Yes
BetweenViewings,sub-S21,808,-0.227,0.0,Yes
BetweenViewings,sub-S22,808,0.4283,0.0,Yes
BetweenViewings,sub-S23,808,-0.4812,0.0,Yes
BetweenViewings,sub-S24,808,-0.4656,0.0,Yes
BetweenViewings,sub-S25,808,-0.3888,0.0,Yes
BetweenViewings,sub-S26,808,-0.4932,0.0,Yes
BetweenViewings,sub-S27,808,0.242,0.0,Yes
BetweenViewings,sub-S28,808,-0.0463,0.188612,No
BetweenViewings,sub-S29,808,-0.361,0.0,Yes
BetweenViewings,sub-S30,808,-0.5122,0.0,Yes
BetweenViewings,sub-S31,808,-0.1301,0.000209,Yes
BetweenViewings,sub-S32,808,-0.0201,0.567733,No
BigBuckBunny,sub-S01,490,0.4115,0.0,Yes
BigBuckBunny,sub-S02,490,-0.2399,0.0,Yes
BigBuckBunny,sub-S03,490,0.4071,0.0,Yes
BigBuckBunny,sub-S04,490,-0.1701,0.000155,Yes
BigBuckBunny,sub-S05,490,-0.2835,0.0,Yes
BigBuckBunny,sub-S06,490,0.0291,0.51988,No
BigBuckBunny,sub-S07,490,0.3537,0.0,Yes
BigBuckBunny,sub-S08,490,-0.3578,0.0,Yes
BigBuckBunny,sub-S09,490,0.2572,0.0,Yes
BigBuckBunny,sub-S10,490,-0.5248,0.0,Yes
BigBuckBunny,sub-S11,490,0.3177,0.0,Yes
BigBuckBunny,sub-S14,490,-0.4574,0.0,Yes
BigBuckBunny,sub-S15,490,0.4656,0.0,Yes
BigBuckBunny,sub-S16,490,0.1952,1.4e-05,Yes
BigBuckBunny,sub-S17,490,-0.1408,0.001786,Yes
BigBuckBunny,sub-S19,490,0.402,0.0,Yes
BigBuckBunny,sub-S20,490,0.1985,1e-05,Yes
BigBuckBunny,sub-S21,490,-0.3983,0.0,Yes
BigBuckBunny,sub-S22,490,-0.1638,0.000272,Yes
BigBuckBunny,sub-S23,490,-0.0204,0.652902,No
BigBuckBunny,sub-S24,490,0.169,0.000172,Yes
BigBuckBunny,sub-S25,490,-0.4292,0.0,Yes
BigBuckBunny,sub-S26,490,-0.0165,0.714813,No
BigBuckBunny,sub-S27,490,-0.1385,0.002118,Yes
BigBuckBunny,sub-S28,490,-0.4095,0.0,Yes
BigBuckBunny,sub-S29,490,0.3634,0.0,Yes
BigBuckBunny,sub-S30,490,-0.5109,0.0,Yes
BigBuckBunny,sub-S31,490,0.1968,1.1e-05,Yes
BigBuckBunny,sub-S32,490,0.3116,0.0,Yes
Chatter,sub-S01,405,0.4579,0.0,Yes
Chatter,sub-S02,405,-0.28,0.0,Yes
Chatter,sub-S03,405,-0.7504,0.0,Yes
Chatter,sub-S04,405,-0.2753,0.0,Yes
Chatter,sub-S05,405,-0.7924,0.0,Yes
Chatter,sub-S06,405,0.3689,0.0,Yes
Chatter,sub-S07,405,-0.5887,0.0,Yes
Chatter,sub-S08,405,0.4485,0.0,Yes
Chatter,sub-S09,405,0.134,0.006941,Yes
Chatter,sub-S10,405,-0.7911,0.0,Yes
Chatter,sub-S11,405,0.9391,0.0,Yes
Chatter,sub-S13,405,0.8811,0.0,Yes
Chatter,sub-S14,405,0.4232,0.0,Yes
Chatter,sub-S15,405,0.7435,0.0,Yes
Chatter,sub-S16,405,0.921,0.0,Yes
Chatter,sub-S17,405,0.3228,0.0,Yes
Chatter,sub-S19,405,0.7376,0.0,Yes
Chatter,sub-S20,405,-0.3922,0.0,Yes
Chatter,sub-S21,405,0.4232,0.0,Yes
Chatter,sub-S22,405,-0.1367,0.005865,Yes
Chatter,sub-S23,405,0.9075,0.0,Yes
Chatter,sub-S24,405,0.9505,0.0,Yes
Chatter,sub-S25,405,0.4071,0.0,Yes
Chatter,sub-S26,405,0.369,0.0,Yes
Chatter,sub-S27,405,0.7913,0.0,Yes
Chatter,sub-S28,405,0.4013,0.0,Yes
Chatter,sub-S29,405,0.6155,0.0,Yes
Chatter,sub-S30,405,-0.4991,0.0,Yes
Chatter,sub-S31,405,0.6556,0.0,Yes
Chatter,sub-S32,405,0.4647,0.0,Yes
FirstBite,sub-S01,599,-0.3474,0.0,Yes
FirstBite,sub-S02,599,0.0396,0.333868,No
FirstBite,sub-S03,599,0.0369,0.367663,No
FirstBite,sub-S04,599,0.0364,0.374145,No
FirstBite,sub-S05,599,0.0065,0.874273,No
FirstBite,sub-S06,599,-0.2053,0.0,Yes
FirstBite,sub-S07,599,-0.402,0.0,Yes
FirstBite,sub-S08,599,-0.0248,0.544839,No
FirstBite,sub-S09,599,0.5325,0.0,Yes
FirstBite,sub-S10,599,-0.1756,1.5e-05,Yes
FirstBite,sub-S11,599,-0.1237,0.002427,Yes
FirstBite,sub-S13,599,-0.2231,0.0,Yes
FirstBite,sub-S14,599,-0.4258,0.0,Yes
FirstBite,sub-S15,599,-0.2714,0.0,Yes
FirstBite,sub-S16,599,-0.2275,0.0,Yes
FirstBite,sub-S17,599,-0.1396,0.000612,Yes
FirstBite,sub-S19,599,-0.0371,0.36467,No
FirstBite,sub-S20,599,-0.3737,0.0,Yes
FirstBite,sub-S21,599,-0.3211,0.0,Yes
FirstBite,sub-S22,599,0.5886,0.0,Yes
FirstBite,sub-S23,599,-0.1944,2e-06,Yes
FirstBite,sub-S24,599,-0.083,0.042358,Yes
FirstBite,sub-S25,599,0.5917,0.0,Yes
FirstBite,sub-S26,599,-0.1093,0.007422,Yes
FirstBite,sub-S27,599,0.1676,3.7e-05,Yes
FirstBite,sub-S28,599,-0.4729,0.0,Yes
FirstBite,sub-S29,599,-0.4518,0.0,Yes
FirstBite,sub-S30,599,-0.206,0.0,Yes
FirstBite,sub-S31,599,0.4668,0.0,Yes
FirstBite,sub-S32,599,0.0294,0.472335,No
LessonLearned,sub-S01,667,0.4408,0.0,Yes
LessonLearned,sub-S02,667,0.2064,0.0,Yes
LessonLearned,sub-S03,667,0.1251,0.001201,Yes
LessonLearned,sub-S04,667,0.5084,0.0,Yes
LessonLearned,sub-S05,667,-0.3628,0.0,Yes
LessonLearned,sub-S06,667,0.0554,0.153025,No
LessonLearned,sub-S07,667,-0.1575,4.4e-05,Yes
LessonLearned,sub-S08,667,0.4071,0.0,Yes
LessonLearned,sub-S09,667,0.2894,0.0,Yes
LessonLearned,sub-S10,667,-0.3252,0.0,Yes
LessonLearned,sub-S11,667,0.5399,0.0,Yes
LessonLearned,sub-S13,667,0.4315,0.0,Yes
LessonLearned,sub-S14,667,0.5388,0.0,Yes
LessonLearned,sub-S15,667,-0.1575,4.4e-05,Yes
LessonLearned,sub-S16,667,0.6151,0.0,Yes
LessonLearned,sub-S17,667,0.0662,0.087758,No
LessonLearned,sub-S19,667,0.4904,0.0,Yes
LessonLearned,sub-S20,667,0.3245,0.0,Yes
LessonLearned,sub-S21,667,0.389,0.0,Yes
LessonLearned,sub-S22,667,0.2356,0.0,Yes
LessonLearned,sub-S23,667,0.4127,0.0,Yes
LessonLearned,sub-S24,667,0.0902,0.019822,Yes
LessonLearned,sub-S25,667,0.191,1e-06,Yes
LessonLearned,sub-S26,667,-0.0032,0.933971,No
LessonLearned,sub-S27,667,-0.0719,0.063388,No
LessonLearned,sub-S28,667,-0.285,0.0,Yes
LessonLearned,sub-S29,667,0.2955,0.0,Yes
LessonLearned,sub-S30,667,-0.3659,0.0,Yes
LessonLearned,sub-S31,667,-0.0184,0.63477,No
LessonLearned,sub-S32,667,-0.0399,0.303305,No
Payload,sub-S01,1008,-0.4118,0.0,Yes
Payload,sub-S02,1008,0.4215,0.0,Yes
Payload,sub-S03,1008,0.0899,0.004271,Yes
Payload,sub-S04,1008,0.2085,0.0,Yes
Payload,sub-S05,1008,-0.491,0.0,Yes
Payload,sub-S06,1008,0.4311,0.0,Yes
Payload,sub-S07,1008,-0.5625,0.0,Yes
Payload,sub-S08,1008,-0.2045,0.0,Yes
Payload,sub-S09,1008,0.2672,0.0,Yes
Payload,sub-S10,1008,0.0855,0.006589,Yes
Payload,sub-S11,1008,0.4408,0.0,Yes
Payload,sub-S14,1008,-0.3856,0.0,Yes
Payload,sub-S15,1008,-0.1344,1.8e-05,Yes
Payload,sub-S16,1008,-0.2738,0.0,Yes
Payload,sub-S17,1008,0.1237,8.3e-05,Yes
Payload,sub-S19,1008,0.1725,0.0,Yes
Payload,sub-S20,1008,-0.5818,0.0,Yes
Payload,sub-S21,1008,0.0542,0.085233,No
Payload,sub-S22,1008,-0.1169,0.0002,Yes
Payload,sub-S23,1008,0.1496,2e-06,Yes
Payload,sub-S24,1008,-0.344,0.0,Yes
Payload,sub-S25,1008,-0.4305,0.0,Yes
Payload,sub-S26,1008,-0.0606,0.054501,No
Payload,sub-S27,1008,0.2543,0.0,Yes
Payload,sub-S28,1008,0.0312,0.32192,No
Payload,sub-S29,1008,-0.1554,1e-06,Yes
Payload,sub-S30,905,0.4165,0.0,Yes
Payload,sub-S31,1008,0.3828,0.0,Yes
Payload,sub-S32,1008,0.3347,0.0,Yes
Sintel,sub-S01,722,-0.4685,0.0,Yes
Sintel,sub-S02,722,-0.3502,0.0,Yes
Sintel,sub-S03,722,0.7419,0.0,Yes
Sintel,sub-S04,722,0.2226,0.0,Yes
Sintel,sub-S05,722,-0.1396,0.000167,Yes
Sintel,sub-S06,722,0.6566,0.0,Yes
Sintel,sub-S07,722,0.7036,0.0,Yes
Sintel,sub-S08,722,0.4913,0.0,Yes
Sintel,sub-S09,722,0.5553,0.0,Yes
Sintel,sub-S10,722,0.0969,0.009174,Yes
Sintel,sub-S11,722,0.712,0.0,Yes
Sintel,sub-S13,722,0.123,0.000924,Yes
Sintel,sub-S14,722,0.604,0.0,Yes
Sintel,sub-S15,722,0.5047,0.0,Yes
Sintel,sub-S16,722,0.6902,0.0,Yes
Sintel,sub-S17,722,0.3263,0.0,Yes
Sintel,sub-S19,722,0.2539,0.0,Yes
Sintel,sub-S20,722,0.2943,0.0,Yes
Sintel,sub-S21,722,0.4688,0.0,Yes
Sintel,sub-S22,722,0.2937,0.0,Yes
Sintel,sub-S23,722,0.7649,0.0,Yes
Sintel,sub-S24,722,0.6142,0.0,Yes
Sintel,sub-S25,722,0.2427,0.0,Yes
Sintel,sub-S26,722,0.4291,0.0,Yes
Sintel,sub-S27,722,0.7576,0.0,Yes
Sintel,sub-S28,722,0.7101,0.0,Yes
Sintel,sub-S29,722,-0.5062,0.0,Yes
Sintel,sub-S30,722,-0.2987,0.0,Yes
Sintel,sub-S31,722,0.4737,0.0,Yes
Sintel,sub-S32,722,0.339,0.0,Yes
Spaceman,sub-S01,805,0.0343,0.330954,No
Spaceman,sub-S02,805,0.3183,0.0,Yes
Spaceman,sub-S03,805,-0.5384,0.0,Yes
Spaceman,sub-S04,805,-0.4022,0.0,Yes
Spaceman,sub-S05,805,-0.6746,0.0,Yes
Spaceman,sub-S06,805,-0.3541,0.0,Yes
Spaceman,sub-S08,805,0.2896,0.0,Yes
Spaceman,sub-S09,805,0.2362,0.0,Yes
Spaceman,sub-S10,805,0.804,0.0,Yes
Spaceman,sub-S11,805,0.1513,1.6e-05,Yes
Spaceman,sub-S13,805,-0.0673,0.056286,No
Spaceman,sub-S14,805,-0.7739,0.0,Yes
Spaceman,sub-S15,805,-0.2898,0.0,Yes
Spaceman,sub-S17,805,-0.5224,0.0,Yes
Spaceman,sub-S19,805,0.1635,3e-06,Yes
Spaceman,sub-S20,805,-0.3825,0.0,Yes
Spaceman,sub-S21,805,-0.2557,0.0,Yes
Spaceman,sub-S22,805,0.7023,0.0,Yes
Spaceman,sub-S23,805,-0.4438,0.0,Yes
Spaceman,sub-S24,805,-0.5483,0.0,Yes
Spaceman,sub-S25,805,-0.8116,0.0,Yes
Spaceman,sub-S26,805,-0.108,0.002148,Yes
Spaceman,sub-S27,805,-0.3604,0.0,Yes
Spaceman,sub-S28,805,-0.1641,3e-06,Yes
Spaceman,sub-S29,805,0.6053,0.0,Yes
Spaceman,sub-S30,805,-0.4053,0.0,Yes
Spaceman,sub-S31,805,0.1418,5.4e-05,Yes
Spaceman,sub-S32,805,-0.0431,0.221827,No
Superhero,sub-S01,1028,-0.0782,0.012141,Yes
Superhero,sub-S02,1028,0.2939,0.0,Yes
Superhero,sub-S03,971,0.2458,0.0,Yes
Superhero,sub-S04,1028,0.5659,0.0,Yes
Superhero,sub-S05,1028,0.4484,0.0,Yes
Superhero,sub-S06,1028,0.0666,0.032751,Yes
Superhero,sub-S07,1028,0.2698,0.0,Yes
Superhero,sub-S08,1028,0.2345,0.0,Yes
Superhero,sub-S09,1028,0.0899,0.00391,Yes
Superhero,sub-S10,1028,0.6855,0.0,Yes
Superhero,sub-S11,1028,0.0223,0.47503,No
Superhero,sub-S13,1028,0.5247,0.0,Yes
Superhero,sub-S14,1028,0.3263,0.0,Yes
Superhero,sub-S15,1028,0.6879,0.0,Yes
Superhero,sub-S16,1028,0.4456,0.0,Yes
Superhero,sub-S17,1028,-0.1234,7.3e-05,Yes
Superhero,sub-S19,1028,0.124,6.7e-05,Yes
Superhero,sub-S20,1028,0.4596,0.0,Yes
Superhero,sub-S21,1028,-0.4332,0.0,Yes
Superhero,sub-S22,1028,-0.005,0.873965,No
Superhero,sub-S23,1028,0.1085,0.000492,Yes
Superhero,sub-S24,1028,-0.1999,0.0,Yes
Superhero,sub-S25,1028,0.2038,0.0,Yes
Superhero,sub-S26,1028,-0.4345,0.0,Yes
Superhero,sub-S27,1028,-0.4543,0.0,Yes
Superhero,sub-S29,1028,0.5715,0.0,Yes
Superhero,sub-S30,1028,0.6111,0.0,Yes
Superhero,sub-S31,1028,0.2561,0.0,Yes
Superhero,sub-S32,1028,-0.3729,0.0,Yes
TearsOfSteel,sub-S01,588,-0.6949,0.0,Yes
TearsOfSteel,sub-S02,588,0.5553,0.0,Yes
TearsOfSteel,sub-S03,588,0.6217,0.0,Yes
TearsOfSteel,sub-S04,588,0.3324,0.0,Yes
TearsOfSteel,sub-S05,588,-0.7502,0.0,Yes
TearsOfSteel,sub-S06,588,-0.0147,0.722775,No
TearsOfSteel,sub-S07,588,0.4231,0.0,Yes
TearsOfSteel,sub-S08,588,-0.6824,0.0,Yes
TearsOfSteel,sub-S09,588,0.6596,0.0,Yes
TearsOfSteel,sub-S10,588,0.7744,0.0,Yes
TearsOfSteel,sub-S11,588,-0.6383,0.0,Yes
